title,artist,weeks_in_top_40
(You Want To) Make A Memory,Bon Jovi,3
(You Were Made For) All My Love,Jackie Wilson,9
(You're Gonna) Hurt Yourself,Frankie Valli,1
(You're My One And Only) True Love,Seduction,8
(You're My) Soul And Inspiration,Donny & Marie Osmond,3
(You're My) Soul And Inspiration,The Righteous Brothers,11
(You're the) Devil In Disguise,Elvis Presley With The Jordanaires,8
(You're) Having My Baby,Paul Anka with Odia Coates,11
(You've Got Me) Dangling On A String,Chairman Of The Board,2
(You've Got To) Move Two Mountains,Marv Johnson,4
(Your Love Keeps Lifting Me) Higher And Higher,Jackie Wilson,9
(i've Been) Searchin' So Long,Chicago,12
(oh) Pretty Woman,Van Halen,9
(she's) Sexy + 17,Stray Cats,12
(what) In The Name Of Love,Naked Eyes,2
(your Love Has Lifted Me) Higher And Higher,Rita Coolidge,17
......And Roses And Roses,Andy Williams,3
...Baby One More Time,Britney Spears,29
...Ready For It?,Taylor Swift,10
0 To 100 / The Catch Up,Drake,7
"1 Step Forward, 3 Steps Back",Olivia Rodrigo,2
1 Thing,Amerie,10
"1, 2 Step",Ciara Featuring Missy Elliott,32
"1, 2, 3, 4",Plain White T's,5
"1, 2, 3, 4 (Sumpin' New)",Coolio,15
"1, 2, 3, Red Light",1910 Fruitgum Co.,11
1-2-3,Gloria Estefan & Miami Sound Machine,13
1-2-3,Len Barry,10
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,22
"10,000 Hours",Dan + Shay & Justin Bieber,28
10-9-8,Face To Face,3
100 Years,Five For Fighting,13
100% Pure Love,Crystal Waters,34
100.mil',J. Cole & Bas,1
1234,Feist,3
1432 Franklin Pike Circle Hero,Bobby Russell,2
15 Minutes,Marc Nelson,3
16 Candles,The Crests,14
16 Carriages,Beyonce,2
17,Rick James,3
18 And Life,Skid Row,13
18 Yellow Roses,Bobby Darin,7
19,Paul Hardcastle,8
19 Somethin',Mark Wills,14
1900 Yesterday,Liz Damon's Orient Express,3
1979,The Smashing Pumpkins,19
1985,Bowling For Soup,7
1985 (Intro To The Fall Off),J. Cole,1
1999,Prince,12
19th Nervous Breakdown,The Rolling Stones,9
1st Of Tha Month,Bone Thugs-N-Harmony,10
2 Become 1,Spice Girls,18
2 Legit 2 Quit,M.C. Hammer,17
2 On,Tinashe Featuring ScHoolboy Q,16
2 Phones,Kevin Gates,17
2 Step,Unk,15
20-75,Willie Mitchell,5
2012 (It Ain't The End),Jay Sean Featuring Nicki Minaj,4
2040,Lil Baby & Lil Durk,1
21 Guns,Green Day,14
21 Questions,50 Cent Featuring Nate Dogg,20
22,Taylor Swift,13
223's,YNW Melly & 9lokknine,4
23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",18
24/7,Kevon Edmonds,9
24K Magic,Bruno Mars,37
25,Rod Wave,2
25 Or 6 To 4,Chicago,11
25k Jacket,Gunna Featuring Lil Baby,1
28,Zach Bryan,12
2U,David Guetta Featuring Justin Bieber,7
3,Britney Spears,17
3 A.M. Eternal,The KLF,12
30 For 30,SZA With Kendrick Lamar,12
32 Flavors,Alana Davis,3
34+35,Ariana Grande,27
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,1
3AM On Glenwood,21 Savage,1
3D,Jung Kook & Jack Harlow,1
3am,Eminem,1
4 Ever,Lil' Mo Featuring Fabolous,3
4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,15
4 Seasons Of Loneliness,Boyz II Men,19
4 Your Eyez Only,J. Cole,1
"4, 5, 6",Sole Featuring JT Money & Kandi,5
44 Bulldog,Pop Smoke,1
44 More,Logic,1
4:44,JAY-Z,1
4X4,Travis Scott,1
5 Foot 9,Tyler Hubbard,11
5 Leaf Clover,Luke Combs,1
5 Miles To Empty,Brownstone,2
5 O'Clock,Nonchalant,6
5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,16
5% Tint,Travis Scott,1
5-1-5-0,Dierks Bentley,7
5-10-15-20 (25-30 Years Of Love),The Presidents,9
5.7.0.5.,City Boy,6
50 Ways To Leave Your Lover,Paul Simon,13
50 Ways To Say Goodbye,Train,13
500 Miles Away From Home,Bobby Bare,7
6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,20
6 Inch,Beyonce Featuring The Weeknd,2
"634-5789 (Soulsville, U.S.A.)",Wilson Pickett,8
679,Fetty Wap Featuring Remy Boyz,40
7,Prince And The New Power Generation,19
7 And 7 Is,Love,3
7 Days,Craig David,16
7 Minute Drill,J. Cole,1
7 Rings,Ariana Grande,32
7 Rooms Of Gloom,Four Tops,6
7 Summers,Morgan Wallen,6
7 Things,Miley Cyrus,8
7 Years,Lukas Graham,27
7/11,Beyonce,16
712PM,Future,1
7969 Santa,Drake,1
7am On Bridle Path,Drake,1
8 Out Of 10,Drake,1
808,Blaque,15
853-5937,Squeeze,5
867-5309/jenny,Tommy Tutone,16
8am In Charlotte,Drake,1
9 To 5,Dolly Parton,18
911,Wyclef Jean Featuring Mary J. Blige,2
92 Explorer,Post Malone,1
95.south,J. Cole,1
96 Tears,? (Question Mark) & The Mysterians,12
98.6,Keith,9
99,Toto,8
99 Luftballons,Nena,13
99 Problems,JAY-Z,2
@ MEH,Playboi Carti,1
A Banda (Ah Bahn-da),Herb Alpert & The Tijuana Brass,3
A Bar Song (Tipsy),Shaboozey,49
A Bay Bay,Hurricane Chris,14
A Beautiful Morning,The Rascals,11
A Better Love,Londonbeat,7
A Big Hunk O' Love,Elvis Presley With The Jordanaires,10
A Boy Named Sue,Johnny Cash,11
A Boy Without A Girl,Frankie Avalon,9
A Brand New Me,Dusty Springfield,9
A Certain Smile,Johnny Mathis,6
A Change Is Gonna Come,Sam Cooke,4
A Cowboys Work Is Never Done,Sonny & Cher,11
A Different Corner,George Michael,10
A Dose Of Rock 'N' Roll,Ringo Starr,6
A Fifth Of Beethoven,Walter Murphy & The Big Apple Band,22
A Fine Fine Day,Tony Carey,8
A Fool In Love,Ike & Tina Turner,6
A Fool Never Learns,Andy Williams,8
A Girl In Trouble (Is A Temporary Thing),Romeo Void,2
A Girl Like You,The Smithereens,2
A Girl Like You,The Young Rascals,8
"A Girl Like You (From ""Empire Records"")",Edwyn Collins,3
A Groovy Kind Of Love,The Mindbenders,10
A Hard Day's Night,Ramsey Lewis Trio,4
A Hard Day's Night,The Beatles,12
A Hazy Shade Of Winter,Simon & Garfunkel,6
A Holly Jolly Christmas,Burl Ives,37
A Horse With No Name,America,12
A Hundred Pounds Of Clay,Gene McDaniels,12
A Keeper,Drake,1
A Letter To An Angel,Jimmy Clanton,5
A Letter To Myself,The Chi-lites,5
A Life Of Illusion,Joe Walsh,4
A Little Bit Longer,Jonas Brothers,1
"A Little Bit Me, A Little Bit You",The Monkees,10
A Little Bit More,Dr. Hook,14
A Little Bit Of Heaven,Ronnie Dove,6
A Little Bit Of Love (Is All It Takes),New Edition,2
A Little Bit Of Soap,The Jarmels,6
A Little Bit Stronger,Sara Evans,4
A Little Bitty Tear,Burl Ives,11
A Little In Love,Cliff Richard,11
A Little Love,Corey Hart,2
A Little More Love,Olivia Newton-John,17
A Little Respect,Erasure,9
A Lot,21 Savage,21
A Love Bizarre,Sheila E.,12
A Love She Can Count On,The Miracles,3
A Love So Fine,The Chiffons,1
A Lover's Concerto,The Toys,11
A Lover's Holiday,Change,1
A Lover's Question,Clyde McPhatter,20
A Man I'll Never Be,Boston,5
A Man Without Love (Quando M'innamoro),Engelbert Humperdinck,5
A Matter Of Trust,Billy Joel,10
A Mess Of Blues,Elvis Presley With The Jordanaires,2
A Milli,Lil Wayne,18
A Million To One,Jimmy Charles and The Revelletts,11
A Million To One/Young Love,Donny Osmond,7
A Moment Like This,Kelly Clarkson,11
A Must To Avoid,Herman's Hermits,8
A Natural Man,Lou Rawls,11
A New Day Has Come,Celine Dion,9
A Night To Remember,Joe Diffie,3
A Nightmare On My Street,D.J. Jazzy Jeff & The Fresh Prince,9
A Part Of Me,Jimmy Clanton,2
A Penny For Your Thoughts,Tavares,9
A Place In The Sun,Stevie Wonder,8
A Public Affair,Jessica Simpson,9
A Question Of Temperature,The Balloon Farm,4
A Ray Of Hope,The Rascals,6
A Real Fine Place To Start,Sara Evans,2
A Rock 'N' Roll Fantasy,The Kinks,5
A Rockin' Good Way (To Mess Around And Fall In Love),Dinah Washington & Brook Benton,10
A Rose Is Still A Rose,Aretha Franklin,9
A Satisfied Mind,Bobby Hebb,1
A Shoulder To Cry On,Tommy Page,6
A Sign Of The Times,Petula Clark,7
A Sky Full Of Stars,Coldplay,15
A Song For Mama,Boyz II Men,17
A Song Of Joy (Himno A La Alegria),Miguel Rios,8
A Steel Guitar And A Glass Of Wine,Paul Anka,7
A Summer Song,Chad & Jeremy,9
A Sweet Woman Like You,Joe Tex,4
A Swingin' Safari,Billy Vaughn And His Orchestra,8
A Tear,Gene McDaniels,2
A Teenager In Love,Dion & The Belmonts,13
"A Thin Line Between Love & Hate (From ""A Thin Line..."")",H-Town,2
A Thousand Bad Times,Post Malone,1
A Thousand Miles,Vanessa Carlton,36
A Thousand Stars,Kathy Young With The Innocents,15
A Thousand Years,Christina Perri,9
A Very Special Love Song,Charlie Rich,9
A View To A Kill,Duran Duran,13
A Walk In The Black Forest,Horst Jankowski,9
A Walkin' Miracle,The Essex Featuring Anita Humes,6
A Well Respected Man,The Kinks,9
A Whiter Shade Of Pale,Procol Harum,10
A Whole New World (Aladdin's Theme),Peabo Bryson & Regina Belle,18
A Woman Like You,Lee Brice,5
A Woman Needs Love (Just Like You Do),Ray Parker Jr. & Raydio,15
A Woman's Worth,Alicia Keys,14
"A Woman, A Lover, A Friend",Jackie Wilson,8
A Wonder Like You,Rick Nelson,9
A Wonderful Dream,The Majors,5
A Word In Spanish,Elton John,6
A World Of Our Own,The Seekers,6
A World Without Love,Peter And Gordon,11
A Worried Man,The Kingston Trio,8
A Year Without Rain,Selena Gomez & The Scene,1
A-O-K,Tai Verdes,6
AA,Walker Hayes,10
ABC,Jackson 5,12
AM To PM,Christina Milian,7
AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",3
ANNIE's SONG,John Denver,11
APT.,ROSE & Bruno Mars,22
ATLiens,OutKast,3
ATM,J. Cole,1
Aaron's Party (Come Get It),Aaron Carter,3
Abacab,Genesis,6
Abigail Beecher,Freddy Cannon,6
Abilene,George Hamilton IV,7
About Damn Time,Lizzo,29
About This Thing Called Love,Fabian,3
About Us,Brooke Hogan Featuring Paul Wall,1
Abra-Ca-Dabra,The De Franco Family,4
Abracadabra,Lady Gaga,7
Abracadabra,The Steve Miller Band,19
"Abraham, Martin And John",Dion,12
"Abraham, Martin And John",Moms Mabley,2
"Abraham, Martin And John",Smokey Robinson & The Miracles,2
Absolutely (Story Of A Girl),Nine Days,21
Absolutely Right,Five Man Electrical Band,6
Accidentally In Love,Counting Crows,2
According To You,Orianthi,16
Achy Breaky Heart,Billy Ray Cyrus,22
Across The River,Bruce Hornsby & The Range,7
Across The Universe,Various Artists,1
Act A Fool,Ludacris,2
Act II: Date @ 8,4Batz Featuring Drake,6
Act Up,City Girls,16
Action,Freddy Cannon,6
Action,Sweet,7
Addams Groove,M.C. Hammer,12
Addicted,Saving Abel,16
Addicted To Love,Robert Palmer,14
Addictive,Truth Hurts Featuring Rakim,16
Adia,Sarah McLachlan,27
Adore You,Harry Styles,47
Adore You,Miley Cyrus,10
Adorn,Miguel,22
Adult Education,Daryl Hall John Oates,11
Adventure Of A Lifetime,Coldplay,5
Affair Of The Heart,Rick Springfield,13
Afire Love,Ed Sheeran,1
Africa,Toto,16
After A Few,Travis Denning,5
"After All (Love Theme From ""Chances Are"")",Cher & Peter Cetera,11
After Hours,The Weeknd,2
After Midnight,Eric Clapton,8
After The Fall,Journey,8
After The Glitter Fades,Stevie Nicks,4
After The Goldrush,Prelude,5
After The Love Has Gone,"Earth, Wind & Fire",13
After The Lovin',Engelbert Humperdinck,14
After The Rain,Nelson,14
Afterglow,Ed Sheeran,4
Afternoon Delight,Starland Vocal Band,14
Again,Fetty Wap,8
Again,Janet Jackson,22
Again,Lenny Kravitz,28
Again Tonight,John Mellencamp,4
Against All Odds (Take A Look At Me Now),Phil Collins,16
Against The Wind,Bob Seger,11
Agent Double-O-Soul,Edwin Starr,6
Agora Hills,Doja Cat,31
Ah! Leah!,Donnie Iris,6
"Ahab, The Arab",Ray Stevens,9
Ahhh Ha,Lil Durk,4
Ai No Corrida (I-No-Ko-ree-da),Quincy Jones,5
Aim For The Moon,Pop Smoke Featuring Quavo,1
Ain't 2 Proud 2 Beg,TLC,17
Ain't Even Done With The Night,John Cougar,12
Ain't Gonna Bump No More (with No Big Fat Woman),Joe Tex,10
Ain't Gonna Lie,Keith,1
Ain't It Fun,Paramore,17
Ain't It Funky Now (Part 1),James Brown,8
Ain't It Funny,Jennifer Lopez Featuring Ja Rule,23
Ain't It True,Andy Williams,1
Ain't Love A Bitch,Rod Stewart,6
Ain't No Love In Oklahoma,Luke Combs,25
Ain't No Mountain High Enough,Diana Ross,13
Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell,9
Ain't No Other Man,Christina Aguilera,19
Ain't No Stoppin' Us Now,McFadden & Whitehead,11
Ain't No Sunshine,Bill Withers,12
Ain't No Sunshine,Kris Allen,1
Ain't No Way,Aretha Franklin,7
Ain't No Way To Treat A Lady,Helen Reddy,9
Ain't No Woman (Like The One I've Got),Four Tops,12
Ain't Nobody,Chaka Khan,8
Ain't Nothing 'Bout You,Brooks & Dunn,12
Ain't Nothing Like The Real Thing,Donny & Marie Osmond,8
Ain't Nothing Like The Real Thing,Marvin Gaye & Tammi Terrell,11
Ain't Nothing You Can Do,Bobby Bland,6
Ain't Nuthin' But A She Thing,Salt-N-Pepa,3
Ain't She Sweet,The Beatles,7
Ain't Shit,Doja Cat,4
Ain't That A Shame,Cheap Trick,3
Ain't That A Shame!,The 4 Seasons,6
Ain't That Just Like A Woman,Fats Domino,4
Ain't That Loving You Baby,Elvis Presley,8
Ain't That Peculiar,Marvin Gaye,9
Ain't That Some,Morgan Wallen,3
Ain't Too Proud To Beg,The Rolling Stones,7
Ain't Too Proud To Beg,The Temptations,10
Ain't Understanding Mellow,Jerry Butler & Brenda Lee Eager,10
Air Force Ones,"Nelly Featuring Kyjuan, Ali & Murphy Lee",18
Airplanes,B.o.B Featuring Hayley Williams,29
Airport Love Theme (Gwen And Vern),Vincent Bell,5
Al Di La',Emilio Pericoli,10
Al-Di-La,The Ray Charles Singers,4
Albert Flasher/Broken,The Guess Who,4
Alcohol,Brad Paisley,4
Alejandro,Lady Gaga,19
Alfie,Cher,3
Alfie,Dionne Warwick,9
Alibis,Sergio Mendes,7
Alice In Wonderland,Neil Sedaka,7
Alice Long (You're Still My Favorite Girlfriend),Tommy Boyce & Bobby Hart,6
Alien,Atlanta Rhythm Section,4
Alien Superstar,Beyonce,1
Alive,Bee Gees,4
Alive,Krewella,4
Alive & Kicking,Simple Minds,16
Alive Again,Chicago,8
All,James Darren,2
All 4 Love,Color Me Badd,25
All About Soul,Billy Joel,9
All About That Bass,Meghan Trainor,39
All About Tonight,Blake Shelton,1
All Alone Am I,Brenda Lee,12
All Along The Watchtower,The Jimi Hendrix Experience,8
All Around Me,Flyleaf,1
All Around The World,Justin Bieber Featuring Ludacris,1
All Around The World,Lisa Stansfield,14
All By Myself,Celine Dion,11
All By Myself,Eric Carmen,14
All Cried Out,Allure Featuring 112,24
All Cried Out,Lisa Lisa And Cult Jam With Full Force Featuring Paul Anthony & Bow Legged Lou,13
All Day,"Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",1
All Day And All Of The Night,The Kinks,9
All Day Music,War,2
All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,13
All Falls Down,Kanye West Featuring Syleena Johnson,14
All Fired Up,Pat Benatar,8
All For Love,Bryan Adams/Rod Stewart/Sting,20
All For You,Janet,20
All For You,Sister Hazel,33
All Gold Everything,Trinidad James,4
All I Could Do Was Cry,Etta James,4
All I Do Is Win,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",12
All I Ever Need Is You,Sonny & Cher,11
All I Have,Jennifer Lopez Featuring LL Cool J,20
All I Have To Do Is Dream,Bobbie Gentry & Glen Campbell,6
All I Have To Do Is Dream,Richard Chamberlain,7
All I Have To Give,Backstreet Boys,19
All I Know,Garfunkel,10
All I Need,Jack Wagner,12
All I Need,The Temptations,8
All I Need Is A Miracle,Mike + The Mechanics,12
All I Really Want To Do,Cher,6
All I Really Want To Do,The Byrds,1
All I See Is You,Dusty Springfield,5
All I Wanna Do,Sheryl Crow,27
All I Wanna Do Is Make Love To You,Heart,13
All I Want,Toad The Wet Sprocket,18
"All I Want (From ""GOOD Burger"")",702,4
All I Want For Christmas Is You,Mariah Carey,68
All I Want To Do,Sugarland,8
All I Wanted,Kansas,10
All I'm Missing Is You,"Glenn Medeiros Featuring Ray Parker, Jr.",4
All In My Head (Flex),Fifth Harmony Featuring Fetty Wap,10
All In My Mind,Maxine Brown,6
All Me,Drake Featuring 2 Chainz & Big Sean,6
All Mine,Kanye West,2
All My Life,K-Ci & JoJo,34
All My Life,Kenny Rogers,3
All My Life,Lil Durk Featuring J. Cole,23
All My Life,Linda Ronstadt (Featuring Aaron Neville),9
All My Love,Queen Pen Featuring Eric Williams,6
All Night,Beyonce,1
All Night Long,Faith Evans Featuring Puff Daddy,8
All Night Long,Joe Walsh,8
All Night Long (All Night),Lionel Richie,17
All Of Me,21 Savage,1
All Of Me,John Legend,43
All Of The Girls You Loved Before,Taylor Swift,2
All Of The Lights,Kanye West,16
All Of You,Julio Iglesias & Diana Ross,8
All Or Nothing,Milli Vanilli,10
All Or Nothing,O-Town,16
All Our Tomorrows,Eddie Schwartz,7
All Out Of Love,Air Supply,17
All Over Again,Johnny Cash,1
All Over The World,Electric Light Orchestra,9
All Red,Playboi Carti,1
All Right,Christopher Cross,13
All Right Now,Free,13
All She Wants Is,Duran Duran,6
All She Wants to Do Is Dance,Don Henley,11
All Star,Smash Mouth,27
All Strung Out,Nino Tempo & April Stevens,5
All Strung Out On You,John Travolta,3
All Summer Long,Hit Masters,2
All Summer Long,Kid Rock,12
All Summer Long,The Rock Heroes,2
All That Matters,Justin Bieber,1
All That She Wants,Ace Of Base,30
All The Above,Maino Featuring T-Pain,1
All The Kings Horses,Aretha Franklin,6
All The Love In The World,The Outfield,7
All The Man That I Need,Whitney Houston,15
All The Parties,Drake Featuring Chief Keef,1
All The Places (I Will Kiss You),Aaron Hall,11
All The Right Moves,OneRepublic,13
All The Small Things,Blink-182,14
All The Stars,Kendrick Lamar & SZA,19
"All The Things (Your Man Won't Do) (From ""Don't Be A Menace..."")",Joe,15
All The Things She Said,Simple Minds,6
All The Things She Said,t.A.T.u.,9
All The Way Up,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",8
All The Young Dudes,Mott The Hoople,3
All This Love,Debarge,10
All This Time,Sting,9
All This Time,Tiffany,14
All Those Years Ago,George Harrison,11
All Through The Night,Cyndi Lauper,14
All Time High,Rita Coolidge,4
All Time Low,Jon Bellion,16
All To Myself,Dan + Shay,2
All Too Well (Taylor's Version),Taylor Swift,3
All We Know,The Chainsmokers Featuring Phoebe Ryan,2
All You Get From Love Is A Love Song,Carpenters,3
All You Had To Do Was Stay (Taylor's Version),Taylor Swift,1
All You Need Is Love,The Beatles,9
All You Wanted,Michelle Branch,21
All Your Life,The Band Perry,3
All-American Bitch,Olivia Rodrigo,2
All-American Girl,Carrie Underwood,8
Allentown,Billy Joel,16
Allergic,Post Malone,1
Alley Cat,Bent Fabric and His Piano,12
Alley-Oop,Dante and the Evergreens,8
Alley-Oop,Hollywood Argyles,12
Almost Doesn't Count,Brandy,12
Almost Grown,Chuck Berry,7
Almost Like Being In Love,Michael Johnson,5
Almost Like Praying,Lin-Manuel Miranda Featuring Artists For Puerto Rico,1
Almost Over You,Sheena Easton,6
Almost Paradise...Love Theme From Footloose,Mike Reno And Ann Wilson,13
Almost Persuaded,David Houston,8
Almost Summer,Celebration featuring Mike Love,4
Alone,Bee Gees,9
Alone,Heart,15
Alone,Marshmello,1
Alone,Rod Wave,1
Alone,The 4 Seasons,5
Alone Again,The Weeknd,1
Alone Again (Naturally),Gilbert O'Sullivan,15
Alone At Last,Jackie Wilson,12
Along Came Jones,Ray Stevens,4
Along Came Jones,The Coasters,8
Along Comes A Woman,Chicago,10
Along Comes Mary,The Association,8
Alphabet St.,Prince,9
Already Dead,Juice WRLD,1
Already Gone,Eagles,3
Already Gone,Kelly Clarkson,23
Alright,Darius Rucker,8
Alright,Janet Jackson,12
Alright,Kris Kross Featuring Supercat,10
Also Sprach Zarathustra (2001),Deodato,10
Alvin's Harmonica,David Seville And The Chipmunks,9
Alvin's Orchestra,David Seville And The Chipmunks,2
Always,Atlantic Starr,14
Always,Bon Jovi,29
Always,Erasure,15
Always,Sammy Turner,7
Always And Forever,Heatwave,11
Always And Forever,Whistle,4
Always Be My Baby,Mariah Carey,26
Always In My Heart,Tevin Campbell,10
Always On My Mind,Pet Shop Boys,10
Always On My Mind,Willie Nelson,15
Always On Time,Ja Rule Featuring Ashanti,24
Always On Your Side,Sheryl Crow & Sting,2
Always Something There To Remind Me,Naked Eyes,13
Always Something There To Remind Me,R.B. Greaves,5
Always The Last To Know,Del Amitri,7
Always Together,Al Martino,4
Always Together,The Dells,5
