title,artist,debut
Poor Little Fool,Ricky Nelson,1958-08-04
Patricia,Perez Prado And His Orchestra,1958-08-04
Splish Splash,Bobby Darin,1958-08-04
Hard Headed Woman,Elvis Presley With The Jordanaires,1958-08-04
When,Kalin Twins,1958-08-04
Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels,1958-08-04
Yakety Yak,The Coasters,1958-08-04
My True Love,Jack Scott,1958-08-04
Willie And The Hand Jive,The Johnny Otis Show,1958-08-04
Fever,Peggy Lee,1958-08-04
Ginger Bread,Frankie Avalon,1958-08-04
Just A Dream,Jimmy Clanton And His Rockets,1958-08-04
Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page,1958-08-04
If Dreams Came True,Pat Boone,1958-08-04
For Your Precious Love,Jerry Butler and The Impressions,1958-08-04
One Summer Night,The Danleers,1958-08-04
Endless Sleep,Jody Reynolds,1958-08-04
Little Star,The Elegants,1958-08-04
Everybody Loves A Lover,Doris Day,1958-08-04
Do You Want To Dance,Bobby Freeman,1958-08-04
Guess Things Happen That Way,Johnny Cash And The Tennessee Two,1958-08-04
A Certain Smile,Johnny Mathis,1958-08-04
Western Movies,The Olympics,1958-08-04
The Purple People Eater,Sheb Wooley,1958-08-04
What Am I Living For,Chuck Willis,1958-08-04
Born Too Late,Poni-Tails,1958-08-04
Think It Over,The Crickets,1958-08-04
Secretly,Jimmie Rodgers,1958-08-04
Enchanted Island,The Four Lads,1958-08-04
Angel Baby,Dean Martin,1958-08-04
Chantilly Lace,Big Bopper,1958-08-04
Blue Blue Day,Don Gibson,1958-08-04
The Freeze,Tony And Joe,1958-08-04
Don't Ask Me Why,Elvis Presley With The Jordanaires,1958-08-04
Rock-in Robin,Bobby Day,1958-08-04
"No Chemise, Please",Gerry Granahan,1958-08-04
Moon Talk,Perry Como,1958-08-04
Somebody Touched Me,Buddy Knox with the Rhythm Orchids,1958-08-04
That's How Much I Love You,Pat Boone,1958-08-04
Crazy Eyes For You,Bobby Hamilton,1958-08-04
Early In The Morning,Buddy Holly,1958-08-04
You Cheated,The Slades,1958-08-04
Come What May,Clyde McPhatter,1958-08-04
Jennie Lee,Jan & Arnie,1958-08-04
Kathy-O,The Diamonds,1958-08-04
(It's Been A Long Time) Pretty Baby,Gino & Gina,1958-08-04
I Wonder Why,Dion & The Belmonts,1958-08-04
Return To Me,Dean Martin,1958-08-04
All I Have To Do Is Dream,The Everly Brothers,1958-08-04
By The Light Of The Silvery Moon,Jimmy Bowen with the Rhythm Orchids,1958-08-04
"Baubles, Bangles And Beads",The Kirby Stone Four,1958-08-04
Early In The Morning,The Rinky-Dinks,1958-08-04
Come Closer To Me (Acercate Mas),Nat King Cole,1958-08-04
Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,1958-08-04
Let's Go Steady For The Summer,The Three G's,1958-08-04
Leroy,Jack Scott,1958-08-04
You Need Hands,Eydie Gorme,1958-08-04
Fool's Paradise,The Crickets,1958-08-04
Young And Warm And Wonderful,Tony Bennett,1958-08-04
Over And Over,Bobby Day,1958-08-04
Itchy Twitchy Feeling,Bobby Hendricks,1958-08-04
For Your Love,Ed Townsend,1958-08-04
Padre,Toni Arden,1958-08-04
High School Confidential,Jerry Lee Lewis And His Pumping Piano,1958-08-04
You're Making A Mistake,The Platters,1958-08-04
Delicious!,Jim Backus & Friend,1958-08-04
Big Man,The Four Preps,1958-08-04
Volare (Nel Blu Dipinto Di Blu),Dean Martin,1958-08-04
Op,The Honeycones,1958-08-04
Don't Go Home,The Playmates,1958-08-04
Got A Match?,Frank Gallup,1958-08-04
Stupid Cupid,Connie Francis,1958-08-04
Hey Girl - Hey Boy,Oscar McLollie and Jeanette Baker,1958-08-04
Win Your Love For Me,Sam Cooke,1958-08-04
Gotta Have Rain,Eydie Gorme,1958-08-04
Midnight,Paul Anka,1958-08-04
Happy Years,The Diamonds,1958-08-04
Betty Lou Got A New Pair Of Shoes,Bobby Freeman,1958-08-04
The Bird On My Head,David Seville,1958-08-04
Johnny B. Goode,Chuck Berry,1958-08-04
Beautiful Delilah,Chuck Berry,1958-08-04
Blip Blop,Bill Doggett,1958-08-04
Try The Impossible,Lee Andrews And The Hearts,1958-08-04
Summertime Blues,Eddie Cochran,1958-08-04
Got A Match?,The Daddy-O's,1958-08-04
To Be Loved,Jackie Wilson,1958-08-04
Jealousy,Kitty Wells,1958-08-04
Just Like In The Movies,The Upbeats,1958-08-04
Blue Boy,Jim Reeves,1958-08-04
Stay,The Ames Brothers,1958-08-04
The Purple People Eater Meets The Witch Doctor,Joe South,1958-08-04
Bird Dog,The Everly Brothers,1958-08-04
Are You Really Mine,Jimmie Rodgers,1958-08-04
She Was Only Seventeen (He Was One Year More),Marty Robbins,1958-08-04
Little Mary,Fats Domino,1958-08-04
Over And Over,Thurston Harris,1958-08-04
I Believe In You,Robert & Johnny,1958-08-04
Little Serenade,The Ames Brothers,1958-08-04
I'll Get By (As Long As I Have You),Billy Williams,1958-08-04
Judy,Frankie Vaughan,1958-08-04
Susie Darlin',Robin Luke,1958-08-11
Devoted To You,The Everly Brothers,1958-08-11
Alone With You,Faron Young,1958-08-11
Drip Drop,The Drifters,1958-08-11
Lean Jean,Bill Haley And His Comets,1958-08-11
Tears On My Pillow,Little Anthony And The Imperials,1958-08-11
Just Married,Marty Robbins,1958-08-11
Harvey's Got A Girl Friend,Royal Teens,1958-08-11
Looking Back,Nat King Cole,1958-08-11
You're A Sweetheart,Little Willie John,1958-08-11
The Wizard,Jimmie Rodgers,1958-08-11
Moonlight Bay,The Drifters,1958-08-11
Come In Stranger,Johnny Cash And The Tennessee Two,1958-08-11
Cerveza,Boots Brown And His Blockbusters,1958-08-11
La Paloma,Billy Vaughn And His Orchestra,1958-08-11
Midnighter,The Champs,1958-08-11
Chariot Rock,The Champs,1958-08-11
Down In Virginia,Jimmy Reed,1958-08-11
Sunday Barbecue,Tennessee Ernie Ford,1958-08-11
Nothing In The World,Nat King Cole,1958-08-11
How The Time Flies,Jerry Wallace,1958-08-18
Borrowed Dreams,Bobby Helms,1958-08-18
Near You,Roger Williams,1958-08-18
Lazy Summer Night,The Four Preps,1958-08-18
"Summertime, Summertime",The Jamies,1958-08-18
Straighten Up & Fly Right,DeJohn Sisters,1958-08-18
Gas Money,Jan & Arnie,1958-08-18
Dance Everyone Dance,Betty Madigan,1958-08-18
Devotion,Janice Harper,1958-08-18
My Life,Chuck Willis,1958-08-18
Down The Aisle Of Love,The Quin-Tones,1958-08-18
Fire Of Love,Jody Reynolds,1958-08-18
Put A Ring On My Finger,Les Paul And Mary Ford,1958-08-18
It's All In The Game,Tommy Edwards,1958-08-18
Ma Ma Ma Marie,The Gaylords,1958-08-18
Where The Blue Of The Night,Tommy Mara,1958-08-18
Who Are They To Say,The DeCastro Sisters,1958-08-18
Going To Chicago Blues,Count Basie & His Orch.,1958-08-18
Carol,Chuck Berry,1958-08-25
The Ways Of A Woman In Love,Johnny Cash And The Tennessee Two,1958-08-25
When Will I Know,George Hamilton IV,1958-08-25
City Lights,Ray Price,1958-08-25
Count Every Star,The Rivieras,1958-08-25
The Green Mosquito,The Tune Rockers,1958-08-25
Strange Are The Ways Of Love,Gogi Grant,1958-08-25
Prisoner's Song,Warren Storm,1958-08-25
Topsy II,Cozy Cole,1958-08-25
Ramrod,Duane Eddy His Twangy Guitar And The Rebels,1958-08-25
You Cheated,The Shields,1958-08-25
No One Knows,Dion & The Belmonts,1958-08-25
Little Brass Band,David Seville,1958-08-25
Treasure Of Your Love,Eileen Rodgers,1958-08-25
Tea For Two Cha Cha,The Tommy Dorsey Orchestra,1958-09-01
"Promise Me, Love",Andy Williams,1958-09-01
"Volare (Nel Blu, Dipinto Di Blu)",The McGuire Sisters,1958-09-01
Please Don't Do It,Dale Wright And The Wright Guys With the Dons,1958-09-01
Over The Weekend,The Playboys,1958-09-01
Blue Ribbon Baby,Tommy Sands And The Raiders,1958-09-01
Old MacDonald,The Chargers,1958-09-01
Week End,The Kingsmen,1958-09-01
Up Until Now,Johnnie Ray,1958-09-01
La-Do-Dada,Dale Hawkins,1958-09-01
Pickle Up A Doodle,Teresa Brewer,1958-09-01
Big Daddy,Jill Corey,1958-09-01
Your Cheatin' Heart,George Hamilton IV,1958-09-08
I'll Make It All Up To You,Jerry Lee Lewis And His Pumping Piano,1958-09-08
Firefly,Tony Bennett,1958-09-08
Invitation To The Blues,Ray Price,1958-09-08
Guess I've Been Around Too Long,Carl Smith,1958-09-08
Yes I Want You,Ivory Joe Hunter,1958-09-08
The Ballad Of Thunder Road,Robert Mitchum,1958-09-08
My Lucky Love,Doug Franklin With The Bluenotes,1958-09-08
Ten Commandments Of Love,Harvey & The Moonglows,1958-09-15
There Goes My Heart,Joni James,1958-09-15
It's Only Make Believe,Conway Twitty,1958-09-15
The Secret,Gordon MacRae,1958-09-15
Baby Face,Little Richard,1958-09-15
Break-Up,Jerry Lee Lewis And His Pumping Piano,1958-09-15
Mexican Hat Rock,The Applejacks,1958-09-15
Big Brown Eyes,The Redjacks,1958-09-15
The End,Earl Grant,1958-09-15
Topsy I,Cozy Cole,1958-09-15
I Wish,The Platters,1958-09-15
For My Good Fortune,Pat Boone,1958-09-22
Fibbin',Patti Page,1958-09-22
The Day The Rains Came,Jane Morgan,1958-09-22
"Gee, But It's Lonely",Pat Boone,1958-09-22
This Little Girl's Gone Rockin',Ruth Brown,1958-09-22
"Nine More Miles (The ""Faster-Faster"" Song)",Georgie Young,1958-09-22
"Come On, Let's Go",Ritchie Valens,1958-09-22
Hideaway,The Four Esquires,1958-09-22
"Wendy, Wendy",The Four Coins,1958-09-22
Real Wild Child,Ivan,1958-09-22
"To Know Him, Is To Love Him",The Teddy Bears,1958-09-22
Young School Girl,Fats Domino,1958-09-22
Nothin' Shakin',Eddie Fontaine,1958-09-22
We Have Love,Jackie Wilson,1958-09-22
You Got That Touch,Sonny James,1958-09-22
Many A Time,Steve Lawrence,1958-09-22
Itchy Twitchy Feeling,The Swallows,1958-09-22
No One But You (In My Heart),The Ames Brothers,1958-09-29
Pussy Cat,The Ames Brothers,1958-09-29
Look Who's Blue,Don Gibson,1958-09-29
When I Grow Too Old To Dream,Ed Townsend,1958-09-29
Call Me,Johnny Mathis,1958-09-29
Give Myself A Party,Don Gibson,1958-09-29
Tom Dooley,The Kingston Trio,1958-09-29
The Day I Died,The Playmates,1958-09-29
With Your Love,Jack Scott,1958-09-29
Bullwhip Rock,Cyclones,1958-09-29
Tic Toc,Lee Allen And His Band,1958-09-29
Leave Me Alone (Let Me Cry),Dicky Doo And The Don'ts,1958-09-29
Forget Me Not,Kalin Twins,1958-09-29
Hoopa Hoola,Betty Johnson,1958-10-06
The Hula Hoop Song,Georgia Gibbs,1958-10-06
Well I'm Your Man,Johnny Tillotson,1958-10-06
All Over Again,Johnny Cash,1958-10-06
A Lover's Question,Clyde McPhatter,1958-10-06
Need You,Donnie Owens,1958-10-06
It's Raining Outside,The Platters,1958-10-06
Queen Of The Hop,Bobby Darin,1958-10-06
Fried Onions,Lord Rockingham's XI,1958-10-06
The Blob,The Five Blobs,1958-10-06
Just Young,Paul Anka,1958-10-06
The Hula Hoop Song,Teresa Brewer,1958-10-06
Just Young,Andy Rose,1958-10-06
I Got A Feeling,Ricky Nelson,1958-10-13
What Little Girl,Frankie Avalon,1958-10-13
Guaglione,Perez Prado And His Orchestra,1958-10-13
Fallin',Connie Francis,1958-10-13
Love Makes The World Go 'round,Perry Como,1958-10-13
Go Chase A Moonbeam,Jerry Vale,1958-10-13
Bluebell,Mitch Miller and his Orchestra and Chorus,1958-10-13
Geraldine,Jack Scott,1958-10-13
Non Dimenticar (Don't Forget),Nat King Cole,1958-10-13
I'll Wait For You,Frankie Avalon,1958-10-13
Poor Boy,The Royaltones,1958-10-20
Please Love Me Forever,Tommy Edwards,1958-10-20
A Letter To An Angel,Jimmy Clanton,1958-10-20
Lonesome Town,Ricky Nelson,1958-10-20
What Do I Care,Johnny Cash,1958-10-20
Paris,Perez Prado And His Orchestra,1958-10-20
Cimarron (Roll On),Billy Vaughn And His Orchestra,1958-10-20
Jealous Heart,Tab Hunter,1958-10-20
The Day The Rains Came,Raymond Lefevre and His Orchestra,1958-10-27
I'll Remember Tonight,Pat Boone,1958-10-27
Walking Along,The Diamonds,1958-10-27
Love Is All We Need,Tommy Edwards,1958-10-27
Mr. Success,Frank Sinatra,1958-10-27
Mandolins In The Moonlight,Perry Como,1958-10-27
Someday (You'll Want Me To Want You),Jodie Sands,1958-10-27
Tunnel Of Love,Doris Day,1958-10-27
Beep Beep,The Playmates,1958-11-03
I Got Stung,Elvis Presley,1958-11-03
Light Of Love,Peggy Lee,1958-11-03
The Mocking Bird,The Four Lads,1958-11-03
Cannonball,Duane Eddy His Twangy Guitar And The Rebels,1958-11-03
Dreamy Eyes,Johnny Tillotson,1958-11-03
A Part Of Me,Jimmy Clanton,1958-11-03
That Old Black Magic,Louis Prima And Keely Smith,1958-11-03
One Night,Elvis Presley,1958-11-10
Problems,The Everly Brothers,1958-11-10
Bimbombey,Jimmie Rodgers,1958-11-10
I Want To Be Happy Cha Cha,Enoch Light & The Light Brigade,1958-11-10
Sweet Little Rock And Roller,Chuck Berry,1958-11-10
The World Outside,The Four Coins,1958-11-10
Hold It,Bill Doggett,1958-11-10
Crazy Country Hop,Johnny Otis,1958-11-10
Jealous Heart,The Fontane Sisters,1958-11-10
It Don't Hurt No More,Nappy Brown,1958-11-10
"A House, A Car And A Wedding Ring",Dale Hawkins,1958-11-10
Flamingo L'Amore,The Gaylords,1958-11-10
Almost In Your Arms,Johnny Nash,1958-11-10
White Bucks And Saddle Shoes,"Bobby Pedrick, Jr.",1958-11-10
Pledging My Love,Roy Hamilton,1958-11-17
Love You Most Of All,Sam Cooke,1958-11-17
Philadelphia U.S.A.,The Nu Tornados,1958-11-17
Whole Lotta Loving,Fats Domino,1958-11-17
Smoke Gets In Your Eyes,The Platters,1958-11-17
Joe Joe Gunne,Chuck Berry,1958-11-17
Cinderella,The Four Preps,1958-11-17
Coquette,Fats Domino,1958-11-17
Everyone Was There,Bob Kayli,1958-11-17
Need Your Love,Bobby Freeman,1958-11-24
Sing Sing Sing,Bernie Lowe Orchestra,1958-11-24
Intermission Riff,Bernie Lowe Orchestra,1958-11-24
Love Of My Life,The Everly Brothers,1958-11-24
Gotta Travel On,Billy Grammer,1958-11-24
Lonely Teardrops,Jackie Wilson,1958-11-24
16 Candles,The Crests,1958-11-24
The World Outside,The Four Aces,1958-11-24
Donna,Ritchie Valens,1958-11-24
C'mon Everybody,Eddie Cochran,1958-11-24
The Wedding,June Valli,1958-11-24
Sweetheart,Peggy Lee,1958-11-24
The Chipmunk Song,The Chipmunks With David Seville,1958-12-01
Turvy II,Cozy Cole,1958-12-01
Nobody But You,Dee Clark,1958-12-01
The Teen Commandments,Paul Anka-Geo. Hamilton IV-Johnny Nash,1958-12-01
Little Red Riding Hood,Big Bopper,1958-12-01
I Want To Be Happy Cha Cha,The Tommy Dorsey Orchestra Starring Warren Covington,1958-12-01
"A House, A Car And A Wedding Ring",Mike Preston,1958-12-01
Seven Minutes In Heaven,Poni-Tails,1958-12-01
My Happiness,Connie Francis,1958-12-08
Peek-A-Boo,The Cadillacs,1958-12-08
Big Bopper's Wedding,Big Bopper,1958-12-08
Manhattan Spiritual,Reg Owen & His Orchestra,1958-12-08
Come Prima,Tony Dallara,1958-12-08
The Diary,Neil Sedaka,1958-12-08
The World Outside,Roger Williams,1958-12-08
Diamond Ring,Jerry Wallace,1958-12-08
The Fool And The Angel,Bobby Helms,1958-12-08
I Cried A Tear,LaVern Baker,1958-12-08
Stagger Lee,Lloyd Price,1958-12-08
Billy Bayou,Jim Reeves,1958-12-08
(I Wanna) Dance With The Teacher,The Olympics,1958-12-08
Don't You Know Yockomo,"Huey ""piano"" Smith With His Clowns",1958-12-08
Run Rudolph Run,Chuck Berry,1958-12-15
¿Dònde Està Santa Claus? (Where Is Santa Claus?),Augie Rios,1958-12-15
It's Just About Time,Johnny Cash And The Tennessee Two,1958-12-15
Try Me,James Brown And The Famous Flames,1958-12-15
Goodbye Baby,Jack Scott,1958-12-15
I Just Thought You'd Like To Know,Johnny Cash And The Tennessee Two,1958-12-15
Merry Christmas Baby,Chuck Berry,1958-12-15
Philadelphia U.S.A.,Art Lund,1958-12-15
Pretty Girls Everywhere,Eugene Church and The Fellows,1958-12-15
Come Prima (Koma Preema),Polly Bergen,1958-12-15
Jingle Bell Rock,Bobby Helms,1958-12-22
White Christmas,Bing Crosby,1958-12-22
(All of a Sudden) My Heart Sings,Paul Anka,1958-12-22
The All American Boy,Bill Parsons,1958-12-22
Don't Pity Me,Dion & The Belmonts,1958-12-22
Rocka-Conga,The Applejacks,1958-12-22
Lucky Ladybug,Billy & Lillie,1958-12-22
Teasin',Quaker City Boys,1958-12-22
The Little Drummer Boy,The Harry Simeone Chorale,1958-12-22
Rockhouse (Part 2),Ray Charles and his Orchestra,1958-12-22
"Wiggle, Wiggle",The Accents,1958-12-22
So Much,Little Anthony And The Imperials,1958-12-22
The Reason,The 5 Chanels,1958-12-22
Here I Stand,Wade Flemons and the Newcomers,1958-12-22
Green Chri$tma$,Stan Freberg,1958-12-29
The Hawaiian Wedding Song (Ke Kali Nei Au),Andy Williams,1958-12-29
Blue Hawaii,Billy Vaughn And His Orchestra,1958-12-29
The Worryin' Kind,Tommy Sands And The Raiders,1958-12-29
La Bamba,Ritchie Valens,1958-12-29
The Voice In My Heart,Eydie Gorme,1958-12-29
"The Bluebird, The Buzzard & The Oriole",Bobby Day,1958-12-29
Funny,Jesse Belvin,1958-12-29
Save My Soul,Jack Scott,1958-12-29
Heartbeat,Buddy Holly,1958-12-29
Red River Rose,The Ames Brothers,1958-12-29
You Are Beautiful,Johnny Mathis,1959-01-05
Peter Gunn,Ray Anthony and His Orchestra,1959-01-05
I Talk To The Trees,Edmundo Ros and His Orchestra,1959-01-05
Yellow Bird,The Mills Brothers,1959-01-05
Let's Love,Johnny Mathis,1959-01-05
The Girl On Page 44,The Four Lads,1959-01-05
May You Always,The McGuire Sisters,1959-01-05
The Little Space Girl,Jesse Lee Turner,1959-01-05
The One Rose (That's Left In My Heart),Teresa Brewer,1959-01-05
Teach Me Tonight Cha Cha,The DeCastro Sisters,1959-01-05
That's Why I Cry,Buddy Knox,1959-01-05
Tall Paul,Annette With The Afterbeats,1959-01-05
Sermonette,Della Reese,1959-01-05
Gazachstahagen,The Wild-Cats,1959-01-05
The Children's Marching Song (Nick Nack Taddy Whack),Cyril Stapleton And His Orchestra,1959-01-12
The Children's Marching Song (Nick Nack Paddy Whack),"Mitch Miller and his ""Sing Along With Mitch"" Chorus",1959-01-12
I'm A Man,Fabian,1959-01-12
Trust In Me,Patti Page,1959-01-12
Petite Fleur (Little Flower),Chris Barber's Jazz Band,1959-01-12
Good Rockin' Tonight,Pat Boone,1959-01-12
O' Falling Star,The Four Knights,1959-01-12
Nola,Billy Williams,1959-01-12
With The Wind And The Rain In Your Hair,Pat Boone,1959-01-12
"Raspberries, Strawberries",The Kingston Trio,1959-01-12
You Can't Get To Heaven On Roller Skates,Betty Johnson,1959-01-12
It's Only The Beginning,The Kalin Twins,1959-01-12
Don't Take Your Guns To Town,Johnny Cash,1959-01-19
"Teasable, Pleasable You",Buddy Knox,1959-01-19
Lovers Never Say Goodbye,The Flamingos,1959-01-19
The Lonely One,Duane Eddy His Twangy Guitar And The Rebels,1959-01-19
I'll Sail My Ship Alone,Jerry Lee Lewis And His Pumping Piano,1959-01-19
Matilda,Cookie And His Cupcakes,1959-01-19
My Man,Peggy Lee,1959-01-19
There Must Be A Way,Joni James,1959-01-19
Who Cares,Don Gibson,1959-01-19
Ambrose (Part Five),Linda Laurie,1959-01-26
The Shag (Is Totally Cool),Billy Graves,1959-01-26
First Anniversary,Cathy Carr,1959-01-26
I Got A Wife,The Mark IV,1959-01-26
I've Had It,The Bell Notes,1959-01-26
She Say (Oom Dooby Doom),The Diamonds,1959-01-26
It's Just A Matter Of Time,Brook Benton,1959-01-26
"Alright, Okay, You Win",Peggy Lee,1959-01-26
Wicked Ruby,Danny Zella and his Zell Rocks,1959-01-26
Evening Rain,Earl Grant,1959-01-26
Plain Jane,Bobby Darin,1959-01-26
Raw-Hide,Link Wray And The Wraymen,1959-01-26
The Story Of My Love,Conway Twitty,1959-01-26
Tragedy,Thomas Wayne With the Delons,1959-01-26
Charlie Brown,The Coasters,1959-02-02
(I'll Be With You In) Apple Blossom Time,Tab Hunter,1959-02-02
Give Me Your Love,Nat King Cole,1959-02-02
Teardrops Will Fall,Dicky Doo And The Don'ts,1959-02-02
The Hanging Tree,Marty Robbins,1959-02-02
Madrid,Nat King Cole,1959-02-02
Nola,The Morgan Brothers,1959-02-09
Sea Cruise,Frankie Ford,1959-02-09
Jupiter-C,Pat and the Satellites,1959-02-09
(Night Time Is) The Right Time,Ray Charles with the Raylettes,1959-02-09
"Blah, Blah, Blah",Nicola Paone,1959-02-09
Midnight Oil,Charlie Blackwell,1959-02-09
Are You Lonesome Tonight,Jaye P. Morgan,1959-02-09
Venus,Frankie Avalon,1959-02-09
Moonlight Serenade,The Rivieras,1959-02-09
Anthony Boy,Chuck Berry,1959-02-16
Alvin's Harmonica,David Seville And The Chipmunks,1959-02-16
Please Mr. Sun,Tommy Edwards,1959-02-16
When The Saints Go Marching In,Fats Domino,1959-02-16
Telling Lies,Fats Domino,1959-02-16
Miss You,Jaye P. Morgan,1959-02-16
Since I Don't Have You,The Skyliners,1959-02-16
Pink Shoe Laces,Dodie Stevens,1959-02-16
I Don't Need You Anymore,The Teddy Bears,1959-02-16
Never Be Anyone Else But You,Ricky Nelson,1959-02-23
Tomboy,Perry Como,1959-02-23
Hurtin' Inside,Brook Benton,1959-02-23
It Doesn't Matter Anymore,Buddy Holly,1959-02-23
I'm Never Gonna Tell,Jimmie Rodgers,1959-02-23
Bunny Hop,The Applejacks,1959-02-23
I've Got You Under My Skin,Louis Prima And Keely Smith,1959-02-23
Shirley,John Fred And The Playboys,1959-02-23
Glad Rags,Tennessee Ernie Ford,1959-02-23
"No Other Arms, No Other Lips",The Chordettes,1959-03-02
Where Were You (On Our Wedding Day)?,Lloyd Price,1959-03-02
If I Didn't Care,Connie Francis,1959-03-02
"No Other Arms, No Other Lips",The Four Aces,1959-03-02
It's Late,Ricky Nelson,1959-03-02
The Morning Side Of The Mountain,Tommy Edwards,1959-03-02
The Search,Dean Reed,1959-03-02
City Lights,Ivory Joe Hunter,1959-03-02
The Answer To A Maiden's Prayer,June Valli,1959-03-02
Come Softly To Me,The Fleetwoods,1959-03-09
Everybody Likes To Cha Cha Cha,Sam Cooke,1959-03-09
Guitar Boogie Shuffle,The Virtues,1959-03-09
Ballad Of A Girl And Boy,Graduates,1959-03-09
This Should Go On Forever,Rod Bernard,1959-03-09
I Go Ape,Neil Sedaka,1959-03-09
No Regrets,Jimmy Barnes,1959-03-09
I Kneel At Your Throne,Joe Medlin,1959-03-09
Because You're Young,Jimmie Rodgers,1959-03-09
Teardrops On Your Letter,Hank Ballard And The Midnighters,1959-03-09
I Can't Sit Down,Marie & Rex,1959-03-09
"Piove (Ciao, Ciao Bambina)",Domenico Modugno,1959-03-09
Chip Off The Old Block,Eddy Arnold,1959-03-09
Oh Why,The Teddy Bears,1959-03-09
The Happy Organ,"Dave ""Baby"" Cortez",1959-03-16
Sorry (I Ran All The Way Home),The Impalas,1959-03-16
As Time Goes By,Johnny Nash,1959-03-16
Heavenly Lover,Teresa Brewer,1959-03-16
Come To Me,Marv Johnson,1959-03-16
Teenage Heaven,Eddie Cochran,1959-03-16
Yea - Yea (Class Cutter),Dale Hawkins,1959-03-16
(Now and Then There's) A Fool Such As I,Elvis Presley With The Jordanaires,1959-03-23
The Tijuana Jail,The Kingston Trio,1959-03-23
Fried Eggs,The Intruders,1959-03-23
Wishful Thinking,Little Anthony And The Imperials,1959-03-23
Come Softly To Me,Ronnie Height,1959-03-23
The Beat,The Rockin R's,1959-03-23
Record Hop Blues,The Quarter Notes,1959-03-23
Tell Him No,Travis & Bob,1959-03-23
For A Penny,Pat Boone,1959-03-23
Enchanted,The Platters,1959-03-23
Jimmy Kiss And Run,Diane Maxwell,1959-03-23
Six Nights A Week,The Crests,1959-03-23
That's Why (I Love You So),Jackie Wilson,1959-03-23
Someone,Johnny Mathis,1959-03-23
Tell Him No,Dean & Marc,1959-03-23
Sweet Annie Laurie,Sammy Turner and The Twisters,1959-03-23
I Need Your Love Tonight,Elvis Presley With The Jordanaires,1959-03-30
Take A Message To Mary,The Everly Brothers,1959-03-30
Poor Jenny,The Everly Brothers,1959-03-30
Guess Who,Jesse Belvin,1959-03-30
Turn Me Loose,Fabian,1959-03-30
Three Stars,Tommy Dee with Carol Kay and the Teen-Aires,1959-03-30
Rockin' Crickets,Hot-Toddys featuring Bill Pennell,1959-03-30
Who's That Knocking,The Genies,1959-03-30
Hawaiian War Chant,Billy Vaughn And His Orchestra,1959-03-30
French Foreign Legion,Frank Sinatra,1959-03-30
A House Of Love,Scott Garrett,1959-03-30
Star Love,The Playmates,1959-03-30
Raining In My Heart,Buddy Holly,1959-03-30
Almost Grown,Chuck Berry,1959-03-30
I Miss You So,Paul Anka,1959-03-30
Boom-A-Dip-Dip,Stan Robinson,1959-03-30
"""Yep!""",Duane Eddy His Twangy Guitar And The Rebels,1959-03-30
The Chick,Lee and Paul,1959-03-30
So Fine,The Fiestas,1959-04-06
Lovey Dovey,Clyde McPhatter,1959-04-06
Only You,Franck Pourcel's French Fiddles,1959-04-06
77 Sunset Strip,The Big Sound Of Don Ralke,1959-04-06
That's My Little Suzie,Ritchie Valens,1959-04-06
I Never Felt Like This,Jack Scott,1959-04-06
"Goodbye Jimmy, Goodbye",Kathy Linden,1959-04-13
The Kissing Tree,Billy Grammer,1959-04-13
The Walls Have Ears,Patti Page,1959-04-13
I Still Get A Thrill (Thinking Of You),Joni James,1959-04-13
Bonaparte's Retreat,Billy Grammer,1959-04-13
I Think I'm Gonna Kill Myself,Buddy Knox,1959-04-13
Jo-Jo The Dog-Faced Boy,Annette,1959-04-13
I've Come Of Age,Billy Storm,1959-04-13
Lonely For You,Gary Stites,1959-04-13
Quiet Village,The Exotic Sounds of Martin Denny,1959-04-13
My Heart Is An Open Book,"Carl Dobkins, Jr.",1959-04-13
Little Queenie,Chuck Berry,1959-04-13
You Can't Be True Dear,The Mary Kaye Trio,1959-04-13
Kansas City,Wilbert Harrison,1959-04-13
The Wang Dang Taffy-Apple Tango (Mambo Cha Cha Cha),Pat Boone,1959-04-20
Endlessly,Brook Benton,1959-04-20
A Teenager In Love,Dion & The Belmonts,1959-04-20
"Kookie, Kookie (Lend Me Your Comb)",Edward Byrnes & Connie Stevens,1959-04-20
Goodnight Irene,Billy Williams,1959-04-20
I Need Your Lovin',Roy Hamilton,1959-04-20
You're So Fine,The Falcons,1959-04-20
Dream Lover,Bobby Darin,1959-04-20
A Touch Of Pink,Jerry Wallace,1959-04-20
I Waited Too Long,LaVern Baker,1959-04-20
Walkin' To Mother's,Ray Anthony and His Orchestra,1959-04-20
I Told Myself A Lie,Clyde McPhatter,1959-04-20
That's All I Want,Bobby Day,1959-04-20
Two Brothers,David Hill,1959-04-20
Pipe Dreams,Jimmy Beck & His Orchestra,1959-04-20
Personality,Lloyd Price and His Orchestra,1959-04-27
There's No Fool Like A Young Fool,Tab Hunter,1959-04-27
"Frankie's Man, Johnny",Johnny Cash,1959-04-27
Castin' My Spell,The Johnny Otis Show,1959-04-27
Robbin' The Cradle,Tony Bellus,1959-04-27
Crossfire,Johnny And The Hurricanes,1959-04-27
Gidget,Jimmy Darren,1959-04-27
The Battle Of New Orleans,Johnny Horton,1959-04-27
